Question,Answer,Tags,Difficulty
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Medium
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Hard
How do you optimize a slow SQL query?,"Optimize queries using indexes, proper filtering, and avoiding SELECT *.","SQL, Performance",Easy
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Easy
Explain the concept of deadlocks in operating systems.,Deadlocks occur when multiple processes hold resources and wait for others to release them.,"OS, Concurrency",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Medium
Explain the concept of deadlocks in operating systems.,Deadlocks occur when multiple processes hold resources and wait for others to release them.,"OS, Concurrency",Hard
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Hard
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Easy
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Easy
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Easy
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Easy
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Easy
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Medium
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Medium
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Hard
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Medium
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Medium
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Hard
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Easy
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Medium
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Hard
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Medium
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Medium
How do you optimize a slow SQL query?,"Optimize queries using indexes, proper filtering, and avoiding SELECT *.","SQL, Performance",Medium
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Hard
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Hard
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Medium
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Medium
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Easy
How do you optimize a slow SQL query?,"Optimize queries using indexes, proper filtering, and avoiding SELECT *.","SQL, Performance",Hard
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Hard
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Easy
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Easy
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Hard
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Hard
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Easy
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Hard
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Medium
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Hard
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Easy
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Medium
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Hard
Explain the concept of deadlocks in operating systems.,Deadlocks occur when multiple processes hold resources and wait for others to release them.,"OS, Concurrency",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Easy
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Easy
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Hard
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Easy
How do you optimize a slow SQL query?,"Optimize queries using indexes, proper filtering, and avoiding SELECT *.","SQL, Performance",Hard
How do you optimize a slow SQL query?,"Optimize queries using indexes, proper filtering, and avoiding SELECT *.","SQL, Performance",Easy
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Easy
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Hard
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Easy
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Hard
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Easy
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Easy
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Easy
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Easy
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Medium
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Hard
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Hard
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Easy
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Hard
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Medium
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Easy
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Hard
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Easy
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Hard
How do you optimize a slow SQL query?,"Optimize queries using indexes, proper filtering, and avoiding SELECT *.","SQL, Performance",Easy
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Medium
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Easy
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Hard
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Easy
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Hard
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Medium
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Medium
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Easy
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Easy
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Hard
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Easy
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Medium
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Hard
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Medium
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Hard
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Hard
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Easy
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Medium
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Hard
What is the difference between list and tuple in Python?,"Lists are mutable, tuples are immutable.","Python, Data Structures",Medium
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Hard
What is polymorphism in object-oriented programming?,Polymorphism allows methods to have different implementations based on the object type.,"OOP, Polymorphism",Medium
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Medium
How do you optimize a slow SQL query?,"Optimize queries using indexes, proper filtering, and avoiding SELECT *.","SQL, Performance",Hard
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Easy
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Easy
How do you handle exceptions in Python?,Use try-except blocks to catch and handle exceptions gracefully.,"Python, Error Handling",Easy
Explain the concept of deadlocks in operating systems.,Deadlocks occur when multiple processes hold resources and wait for others to release them.,"OS, Concurrency",Medium
What is an SQL JOIN and what are its types?,A JOIN combines rows from two or more tables based on a related column.,"SQL, Database",Hard
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Medium
How do you reverse a string in Python?,Use the slicing method: my_string[::-1],"Python, String Manipulation",Hard
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Hard
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Medium
What is the time complexity of binary search?,The time complexity is O(log n) since the list is divided in half at each step.,"Algorithms, Time Complexity",Medium
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Easy
Explain the concept of deadlocks in operating systems.,Deadlocks occur when multiple processes hold resources and wait for others to release them.,"OS, Concurrency",Easy
Explain the concept of recursion with an example.,Recursion is a function calling itself; example: factorial(n) = n * factorial(n-1).,"Algorithms, Recursion",Easy
How does garbage collection work in Java?,Garbage collection in Java is automatic and uses the JVM's memory management.,"Java, Memory Management",Easy
